,artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0,YG,2RM4jf1Xa9zPgMGRDiht8O,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",0.0058200000000000005,0.743,238373,0.339,0.0,1,0.0812,-7.678,1,0.409,203.927,4,0.118,15
1,YG,1tHDG53xJNGsItRA3vfVgs,BAND DRUM (feat. A$AP Rocky),0.0244,0.846,214800,0.557,0.0,8,0.28600000000000003,-7.258999999999999,1,0.457,159.009,4,0.371,0
2,R3HAB,6Wosx2euFPMT14UXiWudMy,Radio Silence,0.025,0.603,138913,0.723,0.0,9,0.0824,-5.89,0,0.0454,114.966,4,0.382,56
3,Chris Cooq,3J2Jpw61sO7l6Hc7qdYV91,Lactose,0.0294,0.8,125381,0.579,0.912,5,0.0994,-12.118,0,0.0701,123.003,4,0.6409999999999999,0
4,Chris Cooq,2jbYvQCyPgX3CdmAzeVeuS,Same - Original mix,3.52e-05,0.7829999999999999,124016,0.792,0.878,7,0.0332,-10.277,1,0.0661,120.047,4,0.928,0
5,Curbo,26Y1lX7ZOpw9Ql3gGAlqLK,Debauchery - Original mix,0.00115,0.81,124016,0.417,0.919,9,0.106,-10.783,0,0.0793,120.025,4,0.8370000000000001,0
6,Bingo Play,5eIyK73BrxHLnly4F9PWqg,Grandma - Original mix,0.000539,0.8190000000000001,132742,0.72,0.863,4,0.0727,-8.895,0,0.151,124.003,4,0.934,0
7,G Herbo,13Mf2ZBpfNkgWJowvM5hXh,Bon appétit,0.115,0.885,181838,0.348,0.0,9,0.107,-12.569,1,0.451,142.111,4,0.18,0
8,34 Feet,7BQaRTHk44DkMhIVNcXy2D,Among - Original mix,5.84e-05,0.74,124016,0.472,0.847,8,0.0959,-9.008,1,0.0551,120.034,4,0.622,0
9,Chris Cooq,049RxG2laEl9U1PGYeIqLV,Hazard - Original mix,8.109999999999999e-05,0.813,132742,0.731,0.91,11,0.0727,-8.932,1,0.0697,124.031,4,0.944,0
10,Jarka,118GQ70Sp6pMqn6w1oKuki,Strummer - Original mix,0.000784,0.787,124016,0.83,0.784,1,0.0373,-10.457,1,0.162,119.988,4,0.8959999999999999,0
11,Big Koola,6S7cr72a7a8RVAXzDCRj6m,Big Racks - Original mix,0.000106,0.777,128016,0.865,0.812,7,0.0791,-12.181,1,0.117,119.979,4,0.695,0
12,Scatox,7h2qWpMJzIVtiP30E8VDW4,Rulet - Original mix,0.000223,0.7959999999999999,132742,0.698,0.919,10,0.0727,-8.86,0,0.0792,123.973,4,0.964,0
13,Jupitar,3KVQFxJ5CWOcbxdpPYdi4o,Head - Original mix,3.74e-05,0.815,134769,0.7090000000000001,0.938,1,0.0892,-10.666,1,0.0779,122.001,4,0.489,0
14,Curbo,0JjNrI1xmsTfhaiU1R6OVc,Defeding - Original mix,1.35e-05,0.799,124016,0.573,0.915,0,0.0782,-9.83,1,0.0576,120.079,4,0.7659999999999999,0
15,Junkee,3HjTcZt29JUHg5m60QhlMw,Jupiter - Original mix,7.42e-05,0.812,134769,0.581,0.914,1,0.0892,-11.598,1,0.0874,121.994,4,0.503,0
16,Mamuton,42LWRdkWxM9aWmDImWvH6C,Koonra - Original mix,0.000851,0.8109999999999999,124016,0.7090000000000001,0.929,7,0.0628,-10.885,1,0.0504,120.007,4,0.653,0
17,Yellow Ey,32dMH9MvlTJaABrPHY52Yb,Spouse - Original mix,0.0315,0.746,127727,0.645,0.966,1,0.134,-16.615,0,0.0532,124.032,4,0.0359,0
18,Bingo Play,5RCPsfzmEpTXMCTNk7wEfQ,Prop - Original mix,0.000256,0.813,134769,0.598,0.8909999999999999,8,0.0892,-11.058,1,0.0874,122.01,4,0.623,0
19,Pablo XD,0y0mwXrdEzjUK5Nq8GDPnY,Particular - Original mix,9.1e-06,0.812,124016,0.504,0.944,1,0.0848,-11.005999999999998,1,0.055,120.014,4,0.585,0
20,Tremora,3RSMqu36JZnmMkrnNmnqyd,Tremor - Original mix,0.0004280000000000001,0.8140000000000001,134769,0.8240000000000001,0.738,9,0.0771,-8.98,0,0.0846,122.011,4,0.591,0
21,Junkee,1o0fkWCltFHVeFIRHqvR5b,Cent - Original mix,0.000133,0.813,134769,0.703,0.927,1,0.0892,-11.562,1,0.0968,121.984,4,0.503,0
22,Mamuton,2iGShSeV6WcDbez5SLJ2bJ,Pantheon - Original mix,7.01e-05,0.81,124016,0.537,0.932,2,0.0745,-9.894,1,0.0762,120.036,4,0.523,0
23,Chris Cooq,2rNTo0tGUMW6rn0uHzV5er,Samplerup - Original mix,6.66e-06,0.8059999999999999,128016,0.5870000000000001,0.8959999999999999,7,0.243,-10.057,1,0.0607,120.018,4,0.616,0
24,Bob Janga,5Egkx8edirN0pR2R58C2ME,Sinisteraz,3.85e-05,0.812,125381,0.454,0.917,4,0.0696,-9.331,0,0.0965,123.014,4,0.281,0
25,Junkee,67r3lnzstENsRYlZWq6DYP,Tenon,0.0018,0.802,131016,0.695,0.915,6,0.109,-7.3820000000000014,0,0.0622,119.989,4,0.316,0
26,34 Feet,4X8W9SSu9D5MujoxwIwqw6,Strap - Original mix,0.0016,0.8220000000000001,132742,0.789,0.774,0,0.0727,-8.783,1,0.124,123.972,4,0.923,0
27,PUBG,4lncSzeN8WOH2iHEO593iZ,Roxa - Original mix,0.00053,0.809,124016,0.629,0.937,8,0.0788,-10.081,1,0.0605,119.99,4,0.502,0
28,Big Koola,1L67mcddFQ65MfA3wO3MHV,Catholic - Original mix,0.000452,0.8059999999999999,124016,0.463,0.938,6,0.0605,-10.788,0,0.299,119.985,4,0.684,0
29,Electrofanatik,21DU83QG4jB4mQKh76X32h,Noboz,6.96e-05,0.812,125381,0.452,0.897,5,0.097,-9.312,0,0.0632,123.042,4,0.499,0
30,Alex Delgado,08nyEVO684j7pcTAhEY2zJ,Astou - Original mix,2.6600000000000006e-05,0.81,148016,0.94,0.917,10,0.0351,-9.391,0,0.0543,120.022,4,0.444,0
31,Cubby One,4LMVmlX8WXPu8OyPwzkNpR,Reee,0.000728,0.813,125381,0.5720000000000001,0.89,2,0.0864,-9.564,1,0.0871,123.025,4,0.6729999999999999,0
32,ANNA-NO,7JYCpIzpoidDOnnmxmHwtj,Bathroom - Original mix,0.00035800000000000003,0.759,124016,0.855,0.802,5,0.0489,-12.001,0,0.0614,119.901,4,0.8079999999999999,0
